Tipo Agregado;Valor m2
Apartamento;78.26
Apartamento;55.0
Apartamento;50.0
Casa;25.0
Apartamento;39.17
Apartamento;26.83
Apartamento;32.57
Apartamento;12.9
Apartamento;22.0
Apartamento;26.0
Apartamento;32.31
Apartamento;53.33
Apartamento;37.07
Apartamento;33.33
Apartamento;31.11
Apartamento;40.0
Apartamento;20.0
Apartamento;43.94
Apartamento;30.77
Apartamento;37.78
Apartamento;10.56
Apartamento;34.29
Apartamento;17.17
Apartamento;69.23
Casa;42.0
Apartamento;42.5
Apartamento;24.24
Apartamento;26.43
Apartamento;19.7
Apartamento;19.74
Apartamento;12.8
Apartamento;32.26
Apartamento;33.52
Apartamento;35.44
Apartamento;15.38
Apartamento;64.29
Apartamento;41.67
Apartamento;15.53
Apartamento;33.33
Apartamento;46.43
Apartamento;40.95
Apartamento;25.0
Apartamento;34.78
Apartamento;81.82
Apartamento;33.33
Apartamento;62.5
Apartamento;23.44
Apartamento;34.25
Apartamento;53.12
Apartamento;53.06
Apartamento;39.17
Apartamento;46.67
Apartamento;20.0
Apartamento;85.71
Apartamento;10.14
Apartamento;29.79
Apartamento;31.0
Apartamento;16.5
Apartamento;46.67
Apartamento;46.15
Apartamento;28.36
Apartamento;85.71
Apartamento;25.24
Apartamento;69.65
Apartamento;53.85
Apartamento;8.57
Apartamento;27.87
Apartamento;92.19
Apartamento;14.14
Apartamento;45.16
Apartamento;43.55
Apartamento;33.85
Apartamento;35.03
Apartamento;48.27
Apartamento;15.18
Apartamento;42.86
Apartamento;46.15
Apartamento;35.24
Apartamento;48.68
Apartamento;62.5
Apartamento;83.33
Apartamento;31.43
Apartamento;17.04
Apartamento;14.55
Apartamento;31.58
Apartamento;24.05
Apartamento;43.75
Apartamento;58.67
Apartamento;25.0
Apartamento;35.0
Apartamento;77.78
Casa;25.0
Apartamento;25.71
Apartamento;24.32
Apartamento;31.25
Apartamento;68.18
Apartamento;33.33
Apartamento;33.33
Casa;22.5
Apartamento;17.36
Apartamento;32.82
Apartamento;17.46
Apartamento;44.44
Apartamento;40.0
Apartamento;38.96
Apartamento;14.74
Apartamento;53.12
Apartamento;17.86
Apartamento;60.0
Apartamento;9.52
Apartamento;59.09
Apartamento;25.93
Apartamento;23.26
Apartamento;16.3
Apartamento;32.14
Apartamento;22.22
Apartamento;40.0
Apartamento;21.67
Apartamento;40.91
Apartamento;23.53
Apartamento;45.83
Apartamento;57.69
Apartamento;16.44
Apartamento;39.47
Apartamento;69.23
Apartamento;52.0
Apartamento;26.04
Apartamento;76.32
Apartamento;51.28
Apartamento;25.64
Apartamento;54.55
Apartamento;11.49
Apartamento;44.44
Apartamento;41.07
Apartamento;24.44
Apartamento;16.67
Apartamento;43.97
Apartamento;14.29
Apartamento;13.25
Apartamento;58.54
Apartamento;18.18
Apartamento;43.48
Apartamento;48.33
Apartamento;62.5
Apartamento;14.0
Apartamento;26.95
Apartamento;63.44
Apartamento;17.12
Apartamento;22.73
Apartamento;25.0
Apartamento;21.88
Apartamento;35.09
Apartamento;13.75
Apartamento;23.94
Apartamento;19.17
Apartamento;38.46
Apartamento;34.48
Apartamento;14.0
Apartamento;25.0
Casa;31.11
Apartamento;50.0
Apartamento;14.81
Apartamento;29.27
Apartamento;23.19
Apartamento;29.45
Apartamento;33.33
Apartamento;54.9
Apartamento;27.65
Apartamento;19.6
Apartamento;33.5
Apartamento;31.65
Apartamento;29.76
Apartamento;24.49
Apartamento;35.71
Apartamento;31.43
Apartamento;52.14
Apartamento;36.0
Casa;14.29
Apartamento;50.0
Apartamento;26.23
Apartamento;71.43
Apartamento;38.18
Apartamento;54.35
Apartamento;32.0
Apartamento;25.0
Apartamento;37.66
Apartamento;36.23
Apartamento;52.5
Apartamento;29.7
Apartamento;26.32
Apartamento;17.3
Casa;20.83
Apartamento;41.94
Apartamento;58.33
Casa;32.73
Apartamento;37.5
Apartamento;41.82
Apartamento;21.43
Apartamento;41.18
Apartamento;33.33
Apartamento;51.52
Apartamento;50.0
Casa;15.52
Apartamento;26.88
Apartamento;15.33
Apartamento;21.67
Apartamento;28.57
Apartamento;31.82
Apartamento;33.33
Apartamento;25.68
Apartamento;76.92
Casa;11.88
Apartamento;29.23
Apartamento;25.0
Apartamento;38.46
Apartamento;46.67
Apartamento;55.17
Apartamento;59.86
Apartamento;16.67
Apartamento;19.59
Apartamento;75.71
Apartamento;21.62
Apartamento;15.29
Apartamento;43.33
Apartamento;46.07
Apartamento;23.68
Apartamento;27.59
Apartamento;99.5
Apartamento;16.36
Apartamento;20.95
Apartamento;68.75
Apartamento;36.46
Apartamento;26.47
Apartamento;26.92
Apartamento;14.71
Apartamento;13.33
Apartamento;35.0
Apartamento;28.85
Apartamento;22.92
Apartamento;26.0
Apartamento;15.15
Apartamento;26.67
Apartamento;35.83
Apartamento;38.71
Apartamento;14.89
Apartamento;100.0
Apartamento;27.59
Apartamento;71.43
Apartamento;32.82
Apartamento;76.0
Apartamento;42.31
Apartamento;60.75
Casa;8.33
Apartamento;48.85
Apartamento;31.76
Apartamento;71.28
Apartamento;15.53
Apartamento;22.81
Apartamento;53.12
Apartamento;52.38
Apartamento;67.31
Apartamento;17.01
Apartamento;16.67
Apartamento;12.5
Apartamento;24.44
Apartamento;18.18
Casa;20.59
Apartamento;36.92
Apartamento;62.5
Apartamento;55.71
Casa;64.0
Apartamento;12.86
